date,title,source
2025-06-22,Technology Stocks To Keep An Eye On – June 20th,ETF Daily News
2025-06-21,Bernstein SocGen Lifts MSFT Target to $540 on AI-Driven Cloud Outlook,Biztoc.com
2025-06-21,Bernstein SocGen Lifts MSFT Target to $540 on AI-Driven Cloud Outlook,Yahoo Entertainment
2025-06-21,Landaas & Co. WI ADV Purchases 48 Shares of Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-21,KMT Wealth Management LLC Buys Shares of 896 Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-21,"LifeWealth Investments LLC Purchases Shares of 6,678 Microsoft Corporation (NASDAQ:MSFT)",ETF Daily News
2025-06-21,HWG Holdings LP Lowers Stock Position in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-21,Microsoft Corporation (NASDAQ:MSFT) Shares Acquired by Discipline Wealth Solutions LLC,ETF Daily News
2025-06-21,Leigh Baldwin & CO. LLC Acquires New Stake in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-21,Chokshi & Queen Wealth Advisors Inc Invests $2.49 Million in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-21,Microsoft Corporation (NASDAQ:MSFT) Shares Acquired by LM Advisors LLC,ETF Daily News
2025-06-21,Microsoft Corporation (NASDAQ:MSFT) Stake Lessened by Integrated Advisors Network LLC,ETF Daily News
2025-06-21,Top Technology Stocks To Keep An Eye On – June 19th,ETF Daily News
2025-06-20,isa-model-sdk added to PyPI,Pypi.org
2025-06-20,"Wells Fargo Raises PT on Microsoft (MSFT), Keeps Overweight",Yahoo Entertainment
2025-06-20,Google blames Microsoft for Chrome's recent Windows woes,Android Police
2025-06-20,Understanding Microsoft's Position In Software Industry Compared To Competitors,Biztoc.com
2025-06-20,3 Big Dividends That Could Ease Worries And Lead To Financial Freedom,Forbes
2025-06-20,What’s Happening With MSFT Stock?,Forbes
2025-06-20,Cypress Asset Management Inc. TX Takes $23.18 Million Position in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-20,Putney Financial Group LLC Takes $5.93 Million Position in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-20,Griffith & Werner Inc. Invests $5.46 Million in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-20,"Wealth Management Strategies Inc. Acquires Shares of 2,514 Microsoft Corporation (NASDAQ:MSFT)",ETF Daily News
2025-06-20,Perennial Advisors LLC Purchases New Position in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-20,American Trust Buys 301 Shares of Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-20,"PVG Asset Management Corp Takes $542,000 Position in Microsoft Corporation (NASDAQ:MSFT)",ETF Daily News
2025-06-20,Aberdeen Wealth Management LLC Lowers Stock Holdings in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-20,Microsoft Corporation (NASDAQ:MSFT) Stake Increased by Ascent Group LLC,ETF Daily News
2025-06-20,stepchain added to PyPI,Pypi.org
2025-06-19,Evaluating Microsoft Against Peers In Software Industry,Biztoc.com
2025-06-19,Microsoft (NASDAQ: MSFT) Stock Price Prediction for 2025: Where Will It Be in 1 Year,Biztoc.com
2025-06-19,Microsoft (MSFT) Reportedly Plans Thousands of Job Cuts in Sales Teams,Yahoo Entertainment
2025-06-19,Microsoft's Next Xbox Will Run on AMD; Won't Be Tied to One Store,Yahoo Entertainment
2025-06-19,Microsoft to Axe Thousands of Sales Roles at Fiscal-Year End,Yahoo Entertainment
2025-06-19,Technology Stocks To Watch Today – June 17th,ETF Daily News
2025-06-19,"Warm Springs Advisors Inc. Acquires Shares of 13,877 Microsoft Corporation (NASDAQ:MSFT)",ETF Daily News
2025-06-19,"University of Texas Texas AM Investment Management Co. Sells 6,492 Shares of Microsoft Corporation (NASDAQ:MSFT)",ETF Daily News
2025-06-19,Jupiter Wealth Management LLC Acquires 400 Shares of Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-19,Microsoft Corporation (NASDAQ:MSFT) Holdings Increased by WCG Wealth Advisors LLC,ETF Daily News
2025-06-19,North Star Asset Management Inc. Has $65.35 Million Position in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-19,"Cache Advisors LLC Acquires Shares of 33,805 Microsoft Corporation (NASDAQ:MSFT)",ETF Daily News
2025-06-19,Retirement Planning Group LLC NY Makes New Investment in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-19,Nvidia (NVDA) Could Hit $5 Trillion as Analysts Lift Price Targets,Yahoo Entertainment
2025-06-18,Former TCW Fund Manager Launches New Active Equity ETF,Etf.com
2025-06-18,There’s Still an ‘Enormous’ Reason to Buy Nvidia Stock in 2025,Barchart.com
2025-06-18,3 Big AI Dividends Cashing In On The Next Big Leap,Forbes
2025-06-18,Monograph Wealth Advisors LLC Cuts Stock Position in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-18,Microsoft Corporation (NASDAQ:MSFT) is Novak & Powell Financial Services Inc.’s 6th Largest Position,ETF Daily News
2025-06-18,Novem Group Makes New $5.62 Million Investment in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-18,Royal Capital Wealth Management LLC Has $8.81 Million Stake in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-18,Microsoft Corporation (NASDAQ:MSFT) Stock Holdings Lifted by White Knight Strategic Wealth Advisors LLC,ETF Daily News
2025-06-18,NCM Capital Management LLC Raises Stock Position in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-18,Microsoft Corporation (NASDAQ:MSFT) Shares Bought by Financial Avengers Inc.,ETF Daily News
2025-06-18,"Principal Street Partners LLC Sells 25,578 Shares of Microsoft Corporation (NASDAQ:MSFT)",ETF Daily News
2025-06-18,Continuum Advisory LLC Buys 202 Shares of Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-18,Ashford Capital Management Inc. Has $7.80 Million Holdings in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-18,Talisman Wealth Advisors LLC Has $2.84 Million Stock Position in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-18,Lantern Wealth Advisors LLC Grows Stock Position in Microsoft Corporation (NASDAQ:MSFT),ETF Daily News
2025-06-18,Microsoft Corporation (NASDAQ:MSFT) is Delta Investment Management LLC’s 7th Largest Position,ETF Daily News
2025-06-18,Top Retail Stocks To Consider – June 16th,ETF Daily News
2025-06-18,finance-agent-mcp-server added to PyPI,Pypi.org
2025-06-17,Purpose Investments Inc. Announces June 2025 Distributions,Financial Post
2025-06-17,Purpose Investments Inc. Announces June 2025 Distributions,GlobeNewswire
2025-06-17,Microsoft and AMD announce multi-year Xbox chip deal,Yahoo Entertainment
2025-06-17,CoreWeave stock surge brings post-IPO rally to 340% after unusually positive analyst downgrade,Yahoo Entertainment
2025-06-17,"Microsoft Corporation (MSFT)’s CFO “Told A Great Story,” Says Jim Cramer",Yahoo Entertainment
2025-06-17,"Stock market today: Dow, S&P 500, Nasdaq fall as Trump calls for 'unconditional surrender' of Iran",Yahoo Entertainment
2025-06-17,Microsoft Stock Is Trading Less Than 1% Below New Record Highs. Should You Buy MSFT Here?,Biztoc.com
2025-06-17,"Stock market today: Dow, S&P 500, Nasdaq slide as Trump shakes hopes for an Israel-Iran truce",Yahoo Entertainment
2025-06-17,Oracle’s $116 Billion Surge Leaves Little Room for Error on AI,Yahoo Entertainment
2025-06-17,"Amazon (AMZN) Analysis: Performance, Market Dynamics, and AI-Driven Insights as of June 17, 2025 (Serhii Bondarenko)",Finextra
2025-06-17,Bridgefront Capital LLC Takes Position in Microsoft Co. (NASDAQ:MSFT),ETF Daily News
